$0;1494868585096466318;1.10;KIEKER-SINGLETON;c5afb6a9438e;1;false;0;NANOSECONDS;1
$1;1494868585095519171;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413761;1494868585095168290;1494868585095230307;c5afb6a9438e;0;0
$1;1494868586163084219;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413762;1494868586163058415;1494868586163080161;c5afb6a9438e;0;0
$1;1494868587173913093;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413763;1494868587173900832;1494868587173909874;c5afb6a9438e;0;0
$1;1494868588192608998;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413764;1494868588192598665;1494868588192606001;c5afb6a9438e;0;0
$1;1494868589202237520;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413765;1494868589202226275;1494868589202234324;c5afb6a9438e;0;0
$1;1494868590211589478;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413766;1494868590211578094;1494868590211586348;c5afb6a9438e;0;0
$1;1494868591224947179;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413767;1494868591224936104;1494868591224944098;c5afb6a9438e;0;0
$1;1494868592231256688;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413768;1494868592231245509;1494868592231253547;c5afb6a9438e;0;0
$1;1494868592569378243;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413769;1494868592569352362;1494868592569375051;c5afb6a9438e;0;0
$1;1494868592617675907;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413770;1494868592617665192;1494868592617672471;c5afb6a9438e;0;0
$1;1494868593237997201;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413771;1494868593237986388;1494868593237994267;c5afb6a9438e;0;0
$1;1494868593576570890;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413772;1494868593576559248;1494868593576567805;c5afb6a9438e;0;0
$1;1494868593627215133;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413773;1494868593627203539;1494868593627211873;c5afb6a9438e;0;0
$1;1494868594247496086;public com.netflix.appinfo.InstanceInfo com.netflix.eureka.registry.AbstractInstanceRegistry.getInstanceByAppAndId(java.lang.String,java.lang.String,boolean);<no-session-id>;6409888907143413774;1494868594247484713;1494868594247492644;c5afb6a9438e;0;0
