$0;1498244355736847683;1.10;KIEKER-SINGLETON;8534d20bda9e;1;false;0;NANOSECONDS;1
$1;1498244355735286785;VisitsService.ownersIDpetsIDvisitsGET;205079ECC8D7FE7D49E82299DCBCF00F;2954079880578334725;1498244354540001714;1498244355734571371;8534d20bda9e;1;1
$1;1498244379429682787;VisitsService.ownersIDpetsIDvisitsGET;17F8AA2E38B9C5F6CC08EF4403BC7A95;2954079880578334731;1498244378953218278;1498244379429619056;8534d20bda9e;1;1
$1;1498244382860040052;VisitsService.ownersIDpetsIDvisitsGET;97E1DD8D169AB1E7C45332BEC24D5057;2954079880578334737;1498244382468813211;1498244382859344413;8534d20bda9e;1;1
$1;1498244386200581119;VisitsService.ownersIDpetsIDvisitsGET;D4ADF941F70A395A249ED55591B5540B;2954079880578334743;1498244385844243043;1498244386200520966;8534d20bda9e;1;1
$1;1498244389483309658;VisitsService.ownersIDpetsIDvisitsGET;D1DB8C44F5EB9F42895222DDD0814610;2954079880578334749;1498244389138605373;1498244389483244716;8534d20bda9e;1;1
$1;1498244392789013877;VisitsService.ownersIDpetsIDvisitsGET;8B32410AA26ABB98D92BF3620602D049;2954079880578334755;1498244392442027911;1498244392788955712;8534d20bda9e;1;1
$1;1498244395988764985;VisitsService.ownersIDpetsIDvisitsGET;45F5340D4042474ED53E2D9F366C322A;2954079880578334761;1498244395641852885;1498244395988707271;8534d20bda9e;1;1
$1;1498244399105994440;VisitsService.ownersIDpetsIDvisitsGET;8A812F785F2F6D662065A982DFA59086;2954079880578334767;1498244398758891509;1498244399105929465;8534d20bda9e;1;1
$1;1498244402311214918;VisitsService.ownersIDpetsIDvisitsGET;4E1A12882508B4840D2F4C5F9411CA33;2954079880578334773;1498244401947093118;1498244402311154948;8534d20bda9e;1;1
$1;1498244406617474883;VisitsService.ownersIDpetsIDvisitsGET;21ECADD34D77C9E4B13533E65B34E7FA;2954079880578334779;1498244406263292665;1498244406617380557;8534d20bda9e;1;1
$1;1498244408686173796;VisitsService.ownersIDpetsIDvisitsGET;2B1E7EBF2C436B847026C8A8DCDB2FD3;2954079880578334785;1498244408331844067;1498244408686106685;8534d20bda9e;1;1
$1;1498244411280117428;VisitsService.ownersIDpetsIDvisitsGET;0A0E0E3D162BA24F0EB67C596FCC2350;2954079880578334791;1498244410928962452;1498244411280052901;8534d20bda9e;1;1
$1;1498244414168656423;VisitsService.ownersIDpetsIDvisitsGET;CA79A7A11049928A93F6F000E4708C6A;2954079880578334797;1498244413785454226;1498244414168597103;8534d20bda9e;1;1
$1;1498244416780310942;VisitsService.ownersIDpetsIDvisitsGET;66B291973690F97A7FF85DF50753F99E;2954079880578334803;1498244416437230891;1498244416780251436;8534d20bda9e;1;1
$1;1498244419990896162;VisitsService.ownersIDpetsIDvisitsGET;D8A2CBE7EB8C3559717698C8E46E260E;2954079880578334809;1498244419638041946;1498244419990841388;8534d20bda9e;1;1
$1;1498244423224051763;VisitsService.ownersIDpetsIDvisitsGET;71DB19D10E3AF8CCCF8D8753DD145C87;2954079880578334815;1498244422841386334;1498244423223974267;8534d20bda9e;1;1
$1;1498244426566369697;VisitsService.ownersIDpetsIDvisitsGET;F506D5CAE2C43B168CDF7B9BC734C6AA;2954079880578334821;1498244426050938793;1498244426566301271;8534d20bda9e;1;1
