$0;1496076185279915018;1.10;KIEKER-SINGLETON;02dfab33bc9e;1;false;0;NANOSECONDS;1
$1;1496076185278044528;HTTP_API-Gateway.gateway.GET;BDC59125AF0F79B2609634F59EB6AB14;6081829821787144193;1496076184833816584;1496076185277423281;02dfab33bc9e;0;0
$1;1496076210896933193;HTTP_API-Gateway.gateway.GET;F8AE080061E2501A1AE9A14920B612A9;6081829821787144194;1496076210887506451;1496076210896884089;02dfab33bc9e;0;0
$1;1496076213065085686;api.vetsGET;F8AE080061E2501A1AE9A14920B612A9;6081829821787144195;1496076211283958514;1496076213065009350;02dfab33bc9e;0;0
$1;1496076213745092891;api.ownersGET;F8AE080061E2501A1AE9A14920B612A9;6081829821787144196;1496076213073125779;1496076213745067496;02dfab33bc9e;0;0
$1;1496076213813642042;api.ownersNumberedGET;F8AE080061E2501A1AE9A14920B612A9;6081829821787144197;1496076213750847424;1496076213813619351;02dfab33bc9e;0;0
$1;1496076214236858142;api.ownersNumberedPUT;F8AE080061E2501A1AE9A14920B612A9;6081829821787144198;1496076214008858491;1496076214236836243;02dfab33bc9e;0;0
$1;1496076214314882896;api.petsNumberedGET;F8AE080061E2501A1AE9A14920B612A9;6081829821787144199;1496076214241310534;1496076214314865242;02dfab33bc9e;0;0
$1;1496076215090460471;api.visitsGET;F8AE080061E2501A1AE9A14920B612A9;6081829821787144200;1496076214321928488;1496076215090436220;02dfab33bc9e;0;0
$1;1496076215211720767;HTTP_API-Gateway.gateway.GET;C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144201;1496076215205260739;1496076215211689360;02dfab33bc9e;0;0
$1;1496076215273775685;api.vetsGET;C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144202;1496076215218132859;1496076215273755891;02dfab33bc9e;0;0
$1;1496076215337214009;api.ownersGET;C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144203;1496076215278350837;1496076215337193979;02dfab33bc9e;0;0
$1;1496076215366417442;api.ownersNumberedGET;C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144204;1496076215341503802;1496076215366397533;02dfab33bc9e;0;0
$1;1496076215450292459;api.ownersNumberedPUT;C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144205;1496076215381459394;1496076215450269711;02dfab33bc9e;0;0
$1;1496076215482470500;api.petsNumberedGET;C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144206;1496076215454629470;1496076215482449848;02dfab33bc9e;0;0
$1;1496076215523337743;api.visitsGET;C5224F2D54C7B3E8FB3398ECCD0C57B1;6081829821787144207;1496076215486821448;1496076215523315176;02dfab33bc9e;0;0
$1;1496076215632226251;HTTP_API-Gateway.gateway.GET;DBAA39471194E8011F3C81A605FABAA6;6081829821787144208;1496076215624473197;1496076215632193245;02dfab33bc9e;0;0
$1;1496076215686412806;api.vetsGET;DBAA39471194E8011F3C81A605FABAA6;6081829821787144209;1496076215642444385;1496076215686390852;02dfab33bc9e;0;0
$1;1496076215740013750;api.ownersGET;DBAA39471194E8011F3C81A605FABAA6;6081829821787144210;1496076215690872248;1496076215739994445;02dfab33bc9e;0;0
$1;1496076215767164842;api.ownersNumberedGET;DBAA39471194E8011F3C81A605FABAA6;6081829821787144211;1496076215744385067;1496076215767143052;02dfab33bc9e;0;0
$1;1496076215859492319;api.ownersNumberedPUT;DBAA39471194E8011F3C81A605FABAA6;6081829821787144212;1496076215783725044;1496076215859470734;02dfab33bc9e;0;0
$1;1496076215888744174;api.petsNumberedGET;DBAA39471194E8011F3C81A605FABAA6;6081829821787144213;1496076215864120858;1496076215888718443;02dfab33bc9e;0;0
$1;1496076215919338822;api.visitsGET;DBAA39471194E8011F3C81A605FABAA6;6081829821787144214;1496076215893518784;1496076215919319426;02dfab33bc9e;0;0
$1;1496076216038143764;HTTP_API-Gateway.gateway.GET;8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144215;1496076216031860129;1496076216038105361;02dfab33bc9e;0;0
$1;1496076216077864130;api.vetsGET;8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144216;1496076216043208778;1496076216077841221;02dfab33bc9e;0;0
$1;1496076216127580321;api.ownersGET;8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144217;1496076216081839858;1496076216127550563;02dfab33bc9e;0;0
$1;1496076216153342170;api.ownersNumberedGET;8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144218;1496076216133016616;1496076216153320623;02dfab33bc9e;0;0
$1;1496076216217168510;api.ownersNumberedPUT;8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144219;1496076216167700470;1496076216217146654;02dfab33bc9e;0;0
$1;1496076216245458140;api.petsNumberedGET;8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144220;1496076216221585695;1496076216245432971;02dfab33bc9e;0;0
$1;1496076216272886743;api.visitsGET;8DDE6902AB67BA71ED48DB193E200AD8;6081829821787144221;1496076216250000046;1496076216272865530;02dfab33bc9e;0;0
$1;1496076216379804583;HTTP_API-Gateway.gateway.GET;C63FBF1ED29432EB1C5D25B80CFAD7E4;6081829821787144222;1496076216374536366;1496076216379766718;02dfab33bc9e;0;0
$1;1496076216417581717;api.vetsGET;C63FBF1ED29432EB1C5D25B80CFAD7E4;6081829821787144223;1496076216383854792;1496076216417561660;02dfab33bc9e;0;0
$1;1496076216460798535;api.ownersGET;C63FBF1ED29432EB1C5D25B80CFAD7E4;6081829821787144224;1496076216421521554;1496076216460774841;02dfab33bc9e;0;0
