$0;1494868713305104354;1.10;KIEKER-SINGLETON;1387e53d1e9a;1;false;0;NANOSECONDS;1
$1;1494868713303457166;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll() throws org.springframework.dao.DataAccessException;F2A53D661853B0B058D911504C37B579;6922595577221873675;1494868712927888548;1494868713303167756;1387e53d1e9a;4;4
$1;1494868713318721108;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets() throws org.springframework.dao.DataAccessException;F2A53D661853B0B058D911504C37B579;6922595577221873675;1494868712889420748;1494868713318713216;1387e53d1e9a;3;3
$1;1494868713322060690;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();F2A53D661853B0B058D911504C37B579;6922595577221873675;1494868712866453127;1494868713322052999;1387e53d1e9a;2;2
$1;1494868713449782616;HTTP_VetsService.GET;F2A53D661853B0B058D911504C37B579;6922595577221873675;1494868712847624996;1494868713449656430;1387e53d1e9a;1;1
$1;1494868718131471625;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();F2A53D661853B0B058D911504C37B579;6922595577221873677;1494868718129917942;1494868718131462233;1387e53d1e9a;2;2
$1;1494868718146008758;HTTP_VetsService.GET;F2A53D661853B0B058D911504C37B579;6922595577221873677;1494868718128164139;1494868718145988172;1387e53d1e9a;1;1
$1;1494868728114824314;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();B042846482AA56D8FE73123438C4D65B;6922595577221873679;1494868728114661612;1494868728114819224;1387e53d1e9a;2;2
$1;1494868728124864144;HTTP_VetsService.GET;B042846482AA56D8FE73123438C4D65B;6922595577221873679;1494868728114160895;1494868728124829538;1387e53d1e9a;1;1
$1;1494868730160979322;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();DA4191397042CB5FCCCABD361947FFCF;6922595577221873687;1494868730160837811;1494868730160974794;1387e53d1e9a;2;2
$1;1494868730169405639;HTTP_VetsService.GET;DA4191397042CB5FCCCABD361947FFCF;6922595577221873687;1494868730146115180;1494868730169387448;1387e53d1e9a;1;1
$1;1494868731202398977;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();102C55A1CED0DBC8FB2067B0583A3605;6922595577221873695;1494868731202283054;1494868731202394847;1387e53d1e9a;2;2
$1;1494868731206472004;HTTP_VetsService.GET;102C55A1CED0DBC8FB2067B0583A3605;6922595577221873695;1494868731201841935;1494868731206452932;1387e53d1e9a;1;1
