$0;1496994206400469860;1.10;KIEKER-SINGLETON;a4860cae7778;1;false;0;NANOSECONDS;1
$1;1496994206398738953;CustomerService.ownersGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691524;1496994205676997533;1496994206398068465;a4860cae7778;1;1
$1;1496994215496374042;CustomerService.ownersGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691527;1496994215416250515;1496994215496311496;a4860cae7778;1;1
$1;1496994218208565761;CustomerService.ownersIDGET;9837EA200E30EDF9990F379B0D40F78F;7612490745139691528;1496994218180033370;1496994218208481952;a4860cae7778;1;1
$1;1496994400382205628;CustomerService.ownersGET;2A0744363218A2C88681EEC35A63E343;7612490745139691536;1496994400352328369;1496994400382144095;a4860cae7778;1;1
$1;1496994400399295631;CustomerService.ownersIDGET;2A0744363218A2C88681EEC35A63E343;7612490745139691537;1496994400393011511;1496994400399247429;a4860cae7778;1;1
$1;1496994400712776222;CustomerService.ownersIDpetsIDGET;2A0744363218A2C88681EEC35A63E343;7612490745139691538;1496994400616235532;1496994400712659773;a4860cae7778;1;1
$1;1496994400999499781;CustomerService.ownersGET;854010BA9D834063170DD4FA89970072;7612490745139691542;1496994400976261997;1496994400999438094;a4860cae7778;1;1
$1;1496994401086370998;CustomerService.ownersIDGET;854010BA9D834063170DD4FA89970072;7612490745139691543;1496994401076315628;1496994401086305504;a4860cae7778;1;1
$1;1496994401182589568;CustomerService.ownersIDpetsIDGET;854010BA9D834063170DD4FA89970072;7612490745139691544;1496994401109668540;1496994401182511306;a4860cae7778;1;1
$1;1496994401366060859;CustomerService.ownersGET;89D22DE21D8373579819AC79EFACE377;7612490745139691548;1496994401341466054;1496994401366001891;a4860cae7778;1;1
$1;1496994401392452537;CustomerService.ownersIDGET;89D22DE21D8373579819AC79EFACE377;7612490745139691549;1496994401385142806;1496994401392401861;a4860cae7778;1;1
$1;1496994401422929215;CustomerService.ownersIDpetsIDGET;89D22DE21D8373579819AC79EFACE377;7612490745139691550;1496994401414504618;1496994401422826931;a4860cae7778;1;1
$1;1496994401519294193;CustomerService.ownersGET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691554;1496994401492968399;1496994401519233822;a4860cae7778;1;1
$1;1496994401578493852;CustomerService.ownersIDGET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691555;1496994401531599355;1496994401578439819;a4860cae7778;1;1
$1;1496994401608247122;CustomerService.ownersIDpetsIDGET;977EDC11A2B327B0726D8FE0024C3E22;7612490745139691556;1496994401600331820;1496994401608115890;a4860cae7778;1;1
$1;1496994401704717485;CustomerService.ownersGET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691560;1496994401683102047;1496994401704658432;a4860cae7778;1;1
$1;1496994401720373216;CustomerService.ownersIDGET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691561;1496994401714414253;1496994401720281680;a4860cae7778;1;1
$1;1496994401782691261;CustomerService.ownersIDpetsIDGET;564E951A1DB1EAE1D96DAD7E53160E3A;7612490745139691562;1496994401776602185;1496994401782648676;a4860cae7778;1;1
$1;1496994402094223642;CustomerService.ownersGET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691566;1496994402004950744;1496994402094164951;a4860cae7778;1;1
$1;1496994402176927936;CustomerService.ownersIDGET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691567;1496994402105727006;1496994402176838453;a4860cae7778;1;1
$1;1496994402206455817;CustomerService.ownersIDpetsIDGET;F697BEF8106956F6749B5EBABC75C42D;7612490745139691568;1496994402197753508;1496994402206403411;a4860cae7778;1;1
$1;1496994402593772380;CustomerService.ownersGET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691572;1496994402484917717;1496994402593716991;a4860cae7778;1;1
$1;1496994402610426296;CustomerService.ownersIDGET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691573;1496994402603993420;1496994402610378463;a4860cae7778;1;1
$1;1496994402635042954;CustomerService.ownersIDpetsIDGET;4AA1689BA1FB409EEDE554FE296A8A8E;7612490745139691574;1496994402628331357;1496994402634995010;a4860cae7778;1;1
$1;1496994402826273962;CustomerService.ownersGET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691578;1496994402807747169;1496994402826218468;a4860cae7778;1;1
$1;1496994402845517512;CustomerService.ownersIDGET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691579;1496994402836175771;1496994402845462989;a4860cae7778;1;1
$1;1496994402900657243;CustomerService.ownersIDpetsIDGET;E703E3FBC78E0116FE6B60954857AA6B;7612490745139691580;1496994402893318800;1496994402900606027;a4860cae7778;1;1
$1;1496994403036933492;CustomerService.ownersGET;395437E0F8A47289BE2CFA122866CB32;7612490745139691584;1496994403018679951;1496994403036879713;a4860cae7778;1;1
$1;1496994403091505607;CustomerService.ownersIDGET;395437E0F8A47289BE2CFA122866CB32;7612490745139691585;1496994403084130344;1496994403091451957;a4860cae7778;1;1
$1;1496994403117573442;CustomerService.ownersIDpetsIDGET;395437E0F8A47289BE2CFA122866CB32;7612490745139691586;1496994403110998427;1496994403117520973;a4860cae7778;1;1
$1;1496994403487810000;CustomerService.ownersGET;C030027A3585890FF5902F1C0CC6BFDD;7612490745139691590;1496994403400358836;1496994403487753532;a4860cae7778;1;1
$1;1496994403600257883;CustomerService.ownersGET;D6C13947819E18B4327F2D5728185DC0;7612490745139691596;1496994403577269026;1496994403600193191;a4860cae7778;1;1
$1;1496994403685272252;CustomerService.ownersIDGET;D6C13947819E18B4327F2D5728185DC0;7612490745139691597;1496994403679319198;1496994403685216515;a4860cae7778;1;1
$1;1496994403979568566;CustomerService.ownersGET;FA75A6EA9DCB91EF83521265D81A6159;7612490745139691602;1496994403901427191;1496994403979516433;a4860cae7778;1;1
$1;1496994403994375513;CustomerService.ownersIDGET;FA75A6EA9DCB91EF83521265D81A6159;7612490745139691603;1496994403988883397;1496994403994323812;a4860cae7778;1;1
$1;1496994404283780389;CustomerService.ownersGET;E793060E1B15210A27110B284CF0F21B;7612490745139691608;1496994404196167171;1496994404283723471;a4860cae7778;1;1
$1;1496994404382327283;CustomerService.ownersIDGET;E793060E1B15210A27110B284CF0F21B;7612490745139691609;1496994404376600435;1496994404382277887;a4860cae7778;1;1
$1;1496994404592719967;CustomerService.ownersGET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691614;1496994404576401738;1496994404592668261;a4860cae7778;1;1
$1;1496994404680227091;CustomerService.ownersIDGET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691615;1496994404601386910;1496994404679923416;a4860cae7778;1;1
$1;1496994404706570626;CustomerService.ownersIDpetsIDGET;60E08826ADAA7C659EA85DC9D08FD66B;7612490745139691616;1496994404700125118;1496994404706526505;a4860cae7778;1;1
$1;1496994404915654764;CustomerService.ownersGET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691620;1496994404900005102;1496994404915604844;a4860cae7778;1;1
$1;1496994404932493421;CustomerService.ownersIDGET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691621;1496994404925374815;1496994404932439876;a4860cae7778;1;1
$1;1496994404981670805;CustomerService.ownersIDpetsIDGET;4A4E19251A7BB9295CA64EA006FA9570;7612490745139691622;1496994404956671976;1496994404981613363;a4860cae7778;1;1
$1;1496994405137995935;CustomerService.ownersGET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691626;1496994405122041770;1496994405137941132;a4860cae7778;1;1
$1;1496994405152504426;CustomerService.ownersIDGET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691627;1496994405145974282;1496994405152432439;a4860cae7778;1;1
$1;1496994405175247603;CustomerService.ownersIDpetsIDGET;0AAC81702C2B913D059E60DA9919ED24;7612490745139691628;1496994405170126308;1496994405175203670;a4860cae7778;1;1
$1;1496994405240426552;CustomerService.ownersGET;DC005B5EBBBCB51AD3D97BFEAD6EB123;7612490745139691632;1496994405226105383;1496994405240328910;a4860cae7778;1;1
$1;1496994405253615578;CustomerService.ownersIDGET;DC005B5EBBBCB51AD3D97BFEAD6EB123;7612490745139691633;1496994405248905358;1496994405253575883;a4860cae7778;1;1
$1;1496994405275027006;CustomerService.ownersIDpetsIDGET;DC005B5EBBBCB51AD3D97BFEAD6EB123;7612490745139691634;1496994405269955029;1496994405274985706;a4860cae7778;1;1
$1;1496994405339353777;CustomerService.ownersGET;D99ED47F0A90CC5D0738555249BBE79A;7612490745139691638;1496994405325459104;1496994405339264215;a4860cae7778;1;1
$1;1496994405350163211;CustomerService.ownersIDGET;D99ED47F0A90CC5D0738555249BBE79A;7612490745139691639;1496994405345743352;1496994405350125663;a4860cae7778;1;1
$1;1496994405379813931;CustomerService.ownersIDpetsIDGET;D99ED47F0A90CC5D0738555249BBE79A;7612490745139691640;1496994405365776649;1496994405379772846;a4860cae7778;1;1
$1;1496994405441771955;CustomerService.ownersGET;448A1D32EC0C02507713FEA24605D62D;7612490745139691644;1496994405426532524;1496994405441720744;a4860cae7778;1;1
$1;1496994405478490424;CustomerService.ownersIDGET;448A1D32EC0C02507713FEA24605D62D;7612490745139691645;1496994405450714894;1496994405478436534;a4860cae7778;1;1
$1;1496994405501971235;CustomerService.ownersIDpetsIDGET;448A1D32EC0C02507713FEA24605D62D;7612490745139691646;1496994405495861176;1496994405501923685;a4860cae7778;1;1
$1;1496994405565807676;CustomerService.ownersGET;B701544095BECE83FF718B467A0F8452;7612490745139691650;1496994405551705824;1496994405565760862;a4860cae7778;1;1
$1;1496994405593660545;CustomerService.ownersIDpetsIDGET;B701544095BECE83FF718B467A0F8452;7612490745139691652;1496994405585985801;1496994405593610185;a4860cae7778;1;1
$1;1496994405666699871;CustomerService.ownersGET;F47792E6FA06B32A3660F0B12F03415E;7612490745139691656;1496994405649724133;1496994405666645690;a4860cae7778;1;1
$1;1496994405681460935;CustomerService.ownersIDGET;F47792E6FA06B32A3660F0B12F03415E;7612490745139691657;1496994405676216151;1496994405681416713;a4860cae7778;1;1
$1;1496994405705436060;CustomerService.ownersIDpetsIDGET;F47792E6FA06B32A3660F0B12F03415E;7612490745139691658;1496994405699355901;1496994405705390762;a4860cae7778;1;1
$1;1496994405774388190;CustomerService.ownersGET;0F300DBADBE5A5286A3C8D53F970552B;7612490745139691662;1496994405761611705;1496994405774336713;a4860cae7778;1;1
$1;1496994405787421780;CustomerService.ownersIDGET;0F300DBADBE5A5286A3C8D53F970552B;7612490745139691663;1496994405781478515;1496994405787367293;a4860cae7778;1;1
$1;1496994405808880130;CustomerService.ownersIDpetsIDGET;0F300DBADBE5A5286A3C8D53F970552B;7612490745139691664;1496994405802714580;1496994405808822879;a4860cae7778;1;1
$1;1496994405882662406;CustomerService.ownersGET;434E6087331AF7BA69C28229C1EBBA88;7612490745139691668;1496994405857751149;1496994405882607958;a4860cae7778;1;1
$1;1496994405904774929;CustomerService.ownersIDGET;434E6087331AF7BA69C28229C1EBBA88;7612490745139691669;1496994405899278512;1496994405904728896;a4860cae7778;1;1
$1;1496994405979029984;CustomerService.ownersGET;BFA58BEDE028C1AE814236B048FB30B6;7612490745139691674;1496994405962238083;1496994405978978664;a4860cae7778;1;1
$1;1496994405990377292;CustomerService.ownersIDGET;BFA58BEDE028C1AE814236B048FB30B6;7612490745139691675;1496994405985640387;1496994405990336668;a4860cae7778;1;1
$1;1496994406078372298;CustomerService.ownersGET;4CB47F39BBA1775EADDE58539B52F3DD;7612490745139691680;1496994406052510111;1496994406078319850;a4860cae7778;1;1
$1;1496994406091049573;CustomerService.ownersIDGET;4CB47F39BBA1775EADDE58539B52F3DD;7612490745139691681;1496994406086292624;1496994406091003265;a4860cae7778;1;1
$1;1496994406194222197;CustomerService.ownersGET;4C4DEC9B1F9C84DAA8BE44B22DEAC557;7612490745139691686;1496994406181991470;1496994406194169222;a4860cae7778;1;1
$1;1496994406211193543;CustomerService.ownersIDGET;4C4DEC9B1F9C84DAA8BE44B22DEAC557;7612490745139691687;1496994406206023680;1496994406211146454;a4860cae7778;1;1
$1;1496994406402404896;CustomerService.ownersGET;0725C5DFF6A5F8E6A8C50167879F2737;7612490745139691692;1496994406389452884;1496994406402351554;a4860cae7778;1;1
$1;1496994406418062027;CustomerService.ownersIDGET;0725C5DFF6A5F8E6A8C50167879F2737;7612490745139691693;1496994406411730616;1496994406418014577;a4860cae7778;1;1
$1;1496994406479654383;CustomerService.ownersIDpetsIDGET;0725C5DFF6A5F8E6A8C50167879F2737;7612490745139691694;1496994406437669136;1496994406479586813;a4860cae7778;1;1
$1;1496994406786464589;CustomerService.ownersGET;CAFA16C70AD3545E3D7A7D1AC9E497C3;7612490745139691698;1496994406702814204;1496994406786411178;a4860cae7778;1;1
$1;1496994406801038570;CustomerService.ownersIDGET;CAFA16C70AD3545E3D7A7D1AC9E497C3;7612490745139691699;1496994406795757614;1496994406800990162;a4860cae7778;1;1
$1;1496994406881044141;CustomerService.ownersIDpetsIDGET;CAFA16C70AD3545E3D7A7D1AC9E497C3;7612490745139691700;1496994406818759639;1496994406880992191;a4860cae7778;1;1
$1;1496994407001804060;CustomerService.ownersGET;328203950D7E8A03E90F20C5E3D5780C;7612490745139691704;1496994406990327940;1496994407001751732;a4860cae7778;1;1
$1;1496994407013829059;CustomerService.ownersIDGET;328203950D7E8A03E90F20C5E3D5780C;7612490745139691705;1496994407009634368;1496994407013786542;a4860cae7778;1;1
$1;1496994407077108791;CustomerService.ownersIDpetsIDGET;328203950D7E8A03E90F20C5E3D5780C;7612490745139691706;1496994407031340798;1496994407077057209;a4860cae7778;1;1
$1;1496994407140487097;CustomerService.ownersGET;F6FA2F71B41E8B1B0DE766C52EF19BF8;7612490745139691710;1496994407127965861;1496994407140432135;a4860cae7778;1;1
$1;1496994407207353019;CustomerService.ownersIDpetsIDGET;F6FA2F71B41E8B1B0DE766C52EF19BF8;7612490745139691712;1496994407199468101;1496994407207296910;a4860cae7778;1;1
$1;1496994407340486121;CustomerService.ownersGET;DFE471AE2025FE653738481CC718C2F0;7612490745139691716;1496994407328691428;1496994407340433580;a4860cae7778;1;1
$1;1496994407352275391;CustomerService.ownersIDGET;DFE471AE2025FE653738481CC718C2F0;7612490745139691717;1496994407347748952;1496994407352231658;a4860cae7778;1;1
$1;1496994407374009804;CustomerService.ownersIDpetsIDGET;DFE471AE2025FE653738481CC718C2F0;7612490745139691718;1496994407367259687;1496994407373792243;a4860cae7778;1;1
$1;1496994407437074596;CustomerService.ownersGET;2B0D257CCC226397C0663F1BABFFC560;7612490745139691722;1496994407423989488;1496994407437026075;a4860cae7778;1;1
$1;1496994407477888520;CustomerService.ownersIDGET;2B0D257CCC226397C0663F1BABFFC560;7612490745139691723;1496994407444825329;1496994407477842648;a4860cae7778;1;1
$1;1496994407500436098;CustomerService.ownersIDpetsIDGET;2B0D257CCC226397C0663F1BABFFC560;7612490745139691724;1496994407494431665;1496994407500391226;a4860cae7778;1;1
$1;1496994407608129300;CustomerService.ownersGET;8FE12632E86A612388375BE79C9187C4;7612490745139691728;1496994407597395845;1496994407608081791;a4860cae7778;1;1
$1;1496994407619171052;CustomerService.ownersIDGET;8FE12632E86A612388375BE79C9187C4;7612490745139691729;1496994407615106910;1496994407619132539;a4860cae7778;1;1
$1;1496994407638170105;CustomerService.ownersIDpetsIDGET;8FE12632E86A612388375BE79C9187C4;7612490745139691730;1496994407633325286;1496994407638126678;a4860cae7778;1;1
$1;1496994407706645570;CustomerService.ownersGET;AB09DC6855B4CA474ED79A98DF338F4B;7612490745139691734;1496994407694082633;1496994407706596813;a4860cae7778;1;1
$1;1496994407719916089;CustomerService.ownersIDGET;AB09DC6855B4CA474ED79A98DF338F4B;7612490745139691735;1496994407715134460;1496994407719870705;a4860cae7778;1;1
$1;1496994407741803755;CustomerService.ownersIDpetsIDGET;AB09DC6855B4CA474ED79A98DF338F4B;7612490745139691736;1496994407736094876;1496994407741756609;a4860cae7778;1;1
